,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,message
26,"{'lon': 27.29, 'lat': 36.89}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 298.15, 'feels_like': 299.58, 'temp_min': 298.15, 'temp_max': 298.15, 'pressure': 1010, 'humidity': 83}",10000.0,"{'speed': 4.6, 'deg': 320}",{'all': 0},1598818873.0,"{'type': 1, 'id': 6618, 'country': 'GR', 'sunrise': 1598758830, 'sunset': 1598805764}",10800.0,259245.0,Kos,200,,
27,"{'lon': 4.76, 'lat': 50.43}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 286.96, 'feels_like': 284.58, 'temp_min': 286.15, 'temp_max': 287.59, 'pressure': 1015, 'humidity': 93}",10000.0,"{'speed': 4.6, 'deg': 330}",{'all': 96},1598818873.0,"{'type': 1, 'id': 1234, 'country': 'BE', 'sunrise': 1598763176, 'sunset': 1598812230}",7200.0,2798280.0,Floreffe,200,,
28,"{'lon': 19.75, 'lat': 47.95}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 299.88, 'feels_like': 301.1, 'temp_min': 298.15, 'temp_max': 300.37, 'pressure': 1008, 'humidity': 61}",10000.0,"{'speed': 2.6, 'deg': 150}",{'all': 100},1598818873.0,"{'type': 1, 'id': 6663, 'country': 'HU', 'sunrise': 1598759813, 'sunset': 1598808400}",7200.0,3044131.0,Tar,200,,
29,"{'lon': 73.22, 'lat': 55.36}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 292.15, 'feels_like': 290.51, 'temp_min': 292.15, 'temp_max': 292.15, 'pressure': 1017, 'humidity': 52}",10000.0,"{'speed': 2, 'deg': 260}",{'all': 10},1598818874.0,"{'type': 1, 'id': 8960, 'country': 'RU', 'sunrise': 1598832677, 'sunset': 1598882638}",21600.0,1501710.0,Krutaya Gorka,200,{'1h': 0.42},
30,"{'lon': 21.2, 'lat': 47.23}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 300.22, 'feels_like': 299.01, 'temp_min': 300.15, 'temp_max': 300.37, 'pressure': 1009, 'humidity': 51}",10000.0,"{'speed': 4.6, 'deg': 160}",{'all': 0},1598818874.0,"{'type': 1, 'id': 6665, 'country': 'HU', 'sunrise': 1598759529, 'sunset': 1598807988}",7200.0,715862.0,Sárrétudvari,200,,
31,"{'lon': -4.54, 'lat': 57.59}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 284.94, 'feels_like': 284.46, 'temp_min': 284.26, 'temp_max': 285.37, 'pressure': 1021, 'humidity': 87}",10000.0,"{'speed': 0.64, 'deg': 37}",{'all': 20},1598818874.0,"{'type': 1, 'id': 1435, 'country': 'GB', 'sunrise': 1598764545, 'sunset': 1598815324}",3600.0,2651245.0,Strathpeffer,200,,
32,"{'lon': -106.4, 'lat': 53.22}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 286.15, 'feels_like': 279.77, 'temp_min': 286.15, 'temp_max': 286.15, 'pressure': 1003, 'humidity': 54}",10000.0,"{'speed': 7.2, 'deg': 270, 'gust': 10.8}",{'all': 90},1598818874.0,"{'type': 1, 'id': 875, 'country': 'CA', 'sunrise': 1598789586, 'sunset': 1598839166}",-21600.0,6145951.0,Shellbrook,200,,
33,"{'lon': 125.03, 'lat': 8}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 293.19, 'feels_like': 294.43, 'temp_min': 293.19, 'temp_max': 293.19, 'pressure': 1008, 'humidity': 79, 'sea_level': 1008, 'grnd_level': 941}",10000.0,"{'speed': 1.22, 'deg': 285}",{'all': 68},1598818874.0,"{'country': 'PH', 'sunrise': 1598823130, 'sunset': 1598867322}",28800.0,1707438.0,Lantapan,200,,
34,"{'lon': 23.9, 'lat': 43.8}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 296.18, 'feels_like': 293.71, 'temp_min': 295.93, 'temp_max': 296.48, 'pressure': 1013, 'humidity': 40}",10000.0,"{'speed': 3.1, 'deg': 50}",{'all': 0},1598818875.0,"{'type': 1, 'id': 6914, 'country': 'RO', 'sunrise': 1598759164, 'sunset': 1598807057}",10800.0,671626.0,Ostroveni,200,,
35,"{'lon': 27.82, 'lat': 46.68}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 300.26, 'feels_like': 297.05, 'temp_min': 300.15, 'temp_max': 300.37, 'pressure': 1013, 'humidity': 34}",10000.0,"{'speed': 4.6, 'deg': 150}",{'all': 0},1598818875.0,"{'type': 1, 'id': 6916, 'country': 'RO', 'sunrise': 1598757987, 'sunset': 1598806353}",10800.0,665550.0,Tanacu,200,,
36,"{'lon': 47.39, 'lat': 55.56}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 290.15, 'feels_like': 286.22, 'temp_min': 290.15, 'temp_max': 290.15, 'pressure': 1016, 'humidity': 67}",10000.0,"{'speed': 6, 'deg': 210}",{'all': 98},1598818875.0,"{'type': 1, 'id': 9042, 'country': 'RU', 'sunrise': 1598752345, 'sunset': 1598802604}",10800.0,494514.0,Shikhazany,200,{'1h': 0.8},
37,"{'lon': 124.98, 'lat': 6.43}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 295.75, 'feels_like': 299.1, 'temp_min': 295.75, 'temp_max': 295.75, 'pressure': 1008, 'humidity': 87, 'sea_level': 1008, 'grnd_level': 977}",10000.0,"{'speed': 0.71, 'deg': 131}",{'all': 100},1598818875.0,"{'country': 'PH', 'sunrise': 1598823201, 'sunset': 1598867275}",28800.0,1706282.0,Linan,200,,
38,"{'lon': 45.25, 'lat': 40.13}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 288.26, 'feels_like': 286.51, 'temp_min': 288.26, 'temp_max': 288.26, 'pressure': 1019, 'humidity': 80, 'sea_level': 1019, 'grnd_level': 810}",10000.0,"{'speed': 3.25, 'deg': 35}",{'all': 14},1598818876.0,"{'country': 'AM', 'sunrise': 1598840761, 'sunset': 1598887976}",14400.0,616094.0,Verin Getashen,200,,
39,"{'lon': -98.33, 'lat': 26.22}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 310.05, 'feels_like': 310.04, 'temp_min': 309.15, 'temp_max': 310.37, 'pressure': 1007, 'humidity': 44}",10000.0,"{'speed': 7.2, 'deg': 160, 'gust': 9.3}",{'all': 75},1598818619.0,"{'type': 1, 'id': 4874, 'country': 'US', 'sunrise': 1598789572, 'sunset': 1598835307}",-18000.0,4711725.0,Mission,200,,
40,"{'lon': 17.51, 'lat': 47.52}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 297.11, 'feels_like': 296.82, 'temp_min': 296.15, 'temp_max': 298.15, 'pressure': 1008, 'humidity': 60}",10000.0,"{'speed': 3.1, 'deg': 190}",{'all': 100},1598818876.0,"{'type': 1, 'id': 6668, 'country': 'HU', 'sunrise': 1598760389, 'sunset': 1598808898}",7200.0,3043946.0,Tét,200,,
